latitude,longitude,source
42.2947,-71.0814,Employee Generated
42.3594,-71.0587,Employee Generated
42.3577,-71.0701,Employee Generated
42.3589,-71.0709,Employee Generated
42.295,-71.1155,Employee Generated
42.3833,-71.0755,Employee Generated
42.3833,-71.0755,Employee Generated
42.3812,-71.0388,Employee Generated
42.3794,-71.0399,Employee Generated
42.3765,-71.0394,Employee Generated
42.3683,-71.0393,Employee Generated
42.3804,-71.0391,Employee Generated
42.3736,-71.0389,Employee Generated
42.3657,-71.03,Employee Generated
42.3025,-71.083,Employee Generated
42.3031,-71.0838,Employee Generated
42.3018,-71.0818,Employee Generated
42.3168,-71.0961,Employee Generated
42.3594,-71.0587,Employee Generated
42.386,-71.0762,Employee Generated
42.3421,-71.1512,Employee Generated
42.3599,-71.1245,Employee Generated
42.3391,-71.1512,Employee Generated
42.3429,-71.1421,Employee Generated
42.3756,-71.0629,Employee Generated
42.3502,-71.0688,Employee Generated
42.3856,-71.0108,Employee Generated
42.3856,-71.0226,Employee Generated
42.3803,-71.0277,Employee Generated
42.3806,-71.0281,Employee Generated
42.3169,-71.0538,Employee Generated
42.3594,-71.0587,Employee Generated
42.3727,-71.0392,Employee Generated
42.3884,-70.9989,Employee Generated
42.2911,-71.072,Employee Generated
42.3076,-71.0668,Employee Generated
42.3203,-71.0622,Employee Generated
42.2887,-71.0637,Employee Generated
42.2909,-71.0739,Employee Generated
42.2722,-71.0689,Employee Generated
42.3432,-71.0691,Employee Generated
42.2869,-71.0821,Employee Generated
42.3284,-71.0898,Employee Generated
42.3517,-71.1736,Employee Generated
42.3884,-70.9989,Employee Generated
42.3874,-71.0039,Employee Generated
42.2827,-71.1408,Employee Generated
42.3661,-71.0575,Employee Generated
42.3665,-71.0545,Employee Generated
42.2939,-71.1206,Employee Generated
42.3856,-71.0723,Employee Generated
42.2859,-71.1392,Employee Generated
42.3698,-71.0354,Employee Generated
42.3701,-71.0352,Employee Generated
42.3696,-71.0379,Employee Generated
42.3722,-71.0352,Employee Generated
42.3869,-71.0071,Employee Generated
42.301,-71.0886,Employee Generated
42.3394,-71.072,Employee Generated
42.3594,-71.0587,Employee Generated
42.3841,-71.015,Employee Generated
42.3845,-71.0139,Employee Generated
42.3877,-71.0042,Employee Generated
42.3882,-71.002,Employee Generated
42.381,-71.0148,Employee Generated
42.3916,-71.0096,Employee Generated
42.3916,-71.0088,Employee Generated
42.3909,-71.0005,Employee Generated
42.3804,-71.0383,Employee Generated
42.2852,-71.1368,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3426,-71.1465,Employee Generated
42.2811,-71.1495,Employee Generated
42.3599,-71.071,Employee Generated
42.3594,-71.0587,Employee Generated
42.3455,-71.0797,Employee Generated
42.3099,-71.09,Employee Generated
42.3347,-71.032,Employee Generated
42.2884,-71.0553,Employee Generated
42.3589,-71.0709,Employee Generated
42.3424,-71.0866,Employee Generated
42.3158,-71.0853,Employee Generated
42.26,-71.1618,Employee Generated
42.3061,-71.0842,Employee Generated
42.313,-71.0937,Employee Generated
42.3541,-71.13,Employee Generated
42.2927,-71.1664,Employee Generated
42.3065,-71.0847,Employee Generated
42.3584,-71.0676,Employee Generated
42.3584,-71.0679,Employee Generated
42.358,-71.0673,Employee Generated
42.3581,-71.0664,Employee Generated
42.2454,-71.1237,Employee Generated
42.3594,-71.0587,Employee Generated
42.3833,-71.0755,Employee Generated
42.3615,-71.0564,Employee Generated
42.373,-71.0396,Employee Generated
42.3731,-71.0396,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3455,-71.0851,Employee Generated
42.3501,-71.0669,Employee Generated
42.3648,-71.062,Employee Generated
42.383,-71.0208,Employee Generated
42.3645,-71.03,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3818,-71.0398,Employee Generated
42.3431,-71.0729,Employee Generated
42.3439,-71.0806,Employee Generated
42.3416,-71.081,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3089,-71.0612,Employee Generated
42.3093,-71.0511,Employee Generated
42.2813,-71.0574,Employee Generated
42.3514,-71.1341,Employee Generated
42.3772,-71.0331,Employee Generated
42.3371,-71.1497,Employee Generated
42.3605,-71.0668,Employee Generated
42.2861,-71.137,Employee Generated
42.325,-71.0995,Employee Generated
42.3343,-71.0531,Employee Generated
42.3168,-71.0961,Employee Generated
42.3168,-71.0961,Employee Generated
42.3594,-71.0587,Employee Generated
42.2702,-71.1072,Employee Generated
42.3465,-71.0853,Employee Generated
42.3438,-71.0819,Employee Generated
42.3587,-71.0705,Employee Generated
