day,Parks,Inspectional
1-Jan,8,11
2-Jan,22,11
3-Jan,8,17
4-Jan,31,44
5-Jan,28,99
6-Jan,15,83
7-Jan,17,45
8-Jan,26,37
9-Jan,12,22
10-Jan,29,14
11-Jan,22,119
12-Jan,17,60
13-Jan,89,48
14-Jan,20,44
15-Jan,17,42
16-Jan,7,26
17-Jan,17,14
18-Jan,21,26
19-Jan,62,103
20-Jan,29,88
21-Jan,11,37
22-Jan,19,74
23-Jan,18,20
24-Jan,11,23
25-Jan,23,54
26-Jan,13,57
27-Jan,34,75
28-Jan,46,51
29-Jan,7,53
30-Jan,7,57
31-Jan,5,36
1-Feb,25,52
2-Feb,55,70
3-Feb,35,132
4-Feb,53,45
5-Feb,20,35
6-Feb,18,28
7-Feb,8,9
8-Feb,15,34
9-Feb,13,37
10-Feb,14,35
11-Feb,18,94
12-Feb,57,30
13-Feb,8,15
14-Feb,7,16
15-Feb,10,21
16-Feb,63,41
17-Feb,25,81
18-Feb,54,79
19-Feb,10,32
20-Feb,6,11
21-Feb,12,8
22-Feb,11,42
23-Feb,16,91
24-Feb,15,45
25-Feb,16,77
26-Feb,20,42
27-Feb,5,12
28-Feb,27,15
1-Mar,28,56
2-Mar,59,51
3-Mar,45,79
