subject,latitude,longitude
Inspectional Services,42.3115,-71.1104
Inspectional Services,42.3352,-71.0352
Parks & Recreation Department,42.2864,-71.0787
Inspectional Services,42.2568,-71.1253
Inspectional Services,42.314,-71.1004
Parks & Recreation Department,42.3772,-71.0498
Parks & Recreation Department,42.3593,-71.0661
Inspectional Services,42.3357,-71.0836
Inspectional Services,42.3547,-71.055
Parks & Recreation Department,42.3431,-71.0683
Parks & Recreation Department,42.2992,-71.1085
Parks & Recreation Department,42.3459,-71.0727
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.2918,-71.1222
Inspectional Services,42.3354,-71.0777
Inspectional Services,42.3578,-71.1486
Inspectional Services,42.3373,-71.0775
Inspectional Services,42.2993,-71.0722
Inspectional Services,42.3758,-71.0393
Parks & Recreation Department,42.3473,-71.0723
Inspectional Services,42.3526,-71.1483
Inspectional Services,42.3848,-71.0179
Inspectional Services,42.3104,-71.1127
Inspectional Services,42.3325,-71.1108
Inspectional Services,42.392,-71.0132
Inspectional Services,42.3629,-71.0529
Inspectional Services,42.3034,-71.108
Inspectional Services,42.3564,-71.1534
Inspectional Services,42.3535,-71.0629
Inspectional Services,42.3377,-71.0709
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3544,-71.0447
Inspectional Services,42.2833,-71.0708
Inspectional Services,42.3398,-71.1504
Inspectional Services,42.3297,-71.0529
Parks & Recreation Department,42.3064,-71.1023
Parks & Recreation Department,42.3183,-71.0642
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3438,-71.0961
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.31,-71.0638
Inspectional Services,42.3462,-71.036
Inspectional Services,42.3751,-71.0334
Inspectional Services,42.3296,-71.0703
Inspectional Services,42.3296,-71.0703
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3397,-71.0736
Inspectional Services,42.277,-71.0925
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3072,-71.0832
Inspectional Services,42.3313,-71.049
Inspectional Services,42.2877,-71.1666
Inspectional Services,42.3688,-71.0365
Inspectional Services,42.285,-71.049
Parks & Recreation Department,42.3413,-71.0832
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3108,-71.0888
Inspectional Services,42.3108,-71.0888
Parks & Recreation Department,42.3413,-71.0832
Parks & Recreation Department,42.2808,-71.155
Parks & Recreation Department,42.2802,-71.0711
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3529,-71.0809
Inspectional Services,42.3529,-71.0809
Inspectional Services,42.3394,-71.0797
Inspectional Services,42.3368,-71.0254
Inspectional Services,42.292,-71.0805
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3195,-71.1001
Inspectional Services,42.3493,-71.1532
Inspectional Services,42.2959,-71.0719
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3666,-71.0555
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3516,-71.0608
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3641,-71.052
Inspectional Services,42.3353,-71.1031
Inspectional Services,42.3571,-71.1327
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3702,-71.0376
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3441,-71.0891
Inspectional Services,42.3513,-71.0608
Inspectional Services,42.3328,-71.1021
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3793,-71.0639
Inspectional Services,42.3626,-71.0593
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3421,-71.1512
Parks & Recreation Department,42.3599,-71.1245
Parks & Recreation Department,42.3391,-71.1512
Parks & Recreation Department,42.3429,-71.1421
Parks & Recreation Department,42.3756,-71.0629
Parks & Recreation Department,42.3129,-71.0922
Inspectional Services,42.3346,-71.0927
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.2769,-71.0926
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3658,-71.0544
Inspectional Services,42.3663,-71.0556
Parks & Recreation Department,42.3498,-71.0896
Inspectional Services,42.2879,-71.0861
Inspectional Services,42.338,-71.0398
Inspectional Services,42.3383,-71.0829
Inspectional Services,42.3223,-71.1093
Parks & Recreation Department,42.3272,-71.0504
Parks & Recreation Department,42.3431,-71.0698
Inspectional Services,42.3401,-71.0794
Inspectional Services,42.3161,-71.0987
Inspectional Services,42.353,-71.0774
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3593,-71.0661
Inspectional Services,42.3421,-71.0658
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3559,-71.0657
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3777,-71.0299
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3503,-71.0753
Parks & Recreation Department,42.3383,-71.0784
Parks & Recreation Department,42.3443,-71.0885
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3716,-71.0418
Inspectional Services,42.3572,-71.0702
Parks & Recreation Department,42.3076,-71.0668
Parks & Recreation Department,42.2916,-71.051
Parks & Recreation Department,42.3203,-71.0622
Parks & Recreation Department,42.2887,-71.0637
Parks & Recreation Department,42.2909,-71.0739
Parks & Recreation Department,42.2722,-71.0689
Inspectional Services,42.2912,-71.064
Inspectional Services,42.3072,-71.0821
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3531,-71.0771
Inspectional Services,42.3512,-71.0774
Parks & Recreation Department,42.2837,-71.0764
Inspectional Services,42.2925,-71.0538
Inspectional Services,42.3363,-71.0398
Inspectional Services,42.3714,-71.042
Inspectional Services,42.3472,-71.0739
Inspectional Services,42.3143,-71.0968
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3167,-71.0978
